,Symbol,Name,Market,SYMBOL,cik
209,BEN,Franklin Templeton,S&P500,BEN,CIK0000038777
210,FCX,Freeport-McMoRan,S&P500,FCX,CIK0000831259
211,GRMN,Garmin,S&P500,GRMN,CIK0001121788
212,IT,Gartner,S&P500,IT,CIK0000749251
213,GEHC,GE HealthCare,S&P500,GEHC,
214,GEN,Gen Digital,S&P500,GEN,
215,GNRC,Generac,S&P500,GNRC,CIK0001474735
216,GD,General Dynamics,S&P500,GD,CIK0000040533
217,GE,General Electric,S&P500,GE,CIK0000040545
218,GIS,General Mills,S&P500,GIS,CIK0000040704
219,GM,General Motors,S&P500,GM,CIK0001467858
220,GPC,Genuine Parts Company,S&P500,GPC,CIK0000040987
221,GILD,Gilead Sciences,S&P500,GILD,CIK0000882095
222,GL,Globe Life,S&P500,GL,CIK0000320335
223,GPN,Global Payments,S&P500,GPN,CIK0001123360
224,GS,Goldman Sachs,S&P500,GS,CIK0000886982
225,HAL,Halliburton,S&P500,HAL,CIK0000045012
226,HIG,Hartford (The),S&P500,HIG,CIK0000874766
227,HAS,Hasbro,S&P500,HAS,CIK0000046080
228,HCA,HCA Healthcare,S&P500,HCA,CIK0000860730
229,PEAK,Healthpeak,S&P500,PEAK,CIK0000765880
230,HSIC,Henry Schein,S&P500,HSIC,CIK0001000228
231,HSY,Hershey's,S&P500,HSY,CIK0000047111
232,HES,Hess Corporation,S&P500,HES,CIK0000004447
233,HPE,Hewlett Packard Enterprise,S&P500,HPE,CIK0001645590
