SYMBOL,DESCRIPTION,ticker,cik,TICKER,CIK
AMEH,APOLLO MED HLDGS INC,AMEH,CIK0001083446,AMEH,CIK0001083446
AFT,APOLLO SR FLOATING RATE FD INC,AFT,CIK0001502573,AFT,CIK0001502573
APLE,APPLE HOSPITALITY REIT INC COM,APLE,CIK0001418121,APLE,CIK0001418121
APVO,APTEVO THERAPEUTICS INC COM NE,APVO,CIK0001671584,APVO,CIK0001671584
APTX,APTINYX INC COM (DE),APTX,CIK0001674365,APTX,CIK0001674365
ARMK,ARAMARK COM STK,ARMK,CIK0001584509,ARMK,CIK0001584509
MT,ARCELORMITTAL LUXEMBOURG NY RE,MT,CIK0001243429,MT,CIK0001243429
ACHR,ARCHER AVIATION INC CL A (DE) ,ACHR,CIK0001824502,ACHR,CIK0001824502
ADM,ARCHER DANIELS MIDLAND CO,ADM,CIK0000007084,ADM,CIK0000007084
ARCT,ARCTURUS THERAPEUTICS HLDGS IN,ARCT,CIK0001768224,ARCT,CIK0001768224
ARBKL,ARGO BLOCKCHAIN PLC SR NT (GBR,ARBKL,CIK0001841675,ARBKL,CIK0001841675
ARDC,ARES DYNAMIC CR ALLOCATION FD ,ARDC,CIK0001515324,ARDC,CIK0001515324
ARGX,ARGENX SE SPONSORED ADS (NLD) ,ARGX,CIK0001697862,ARGX,CIK0001697862
DRRSF,ARIANNE PHOSPHATE INC ORD SHS ,DRRSF,CIK0001421570,DRRSF,CIK0001421570
ANET,ARISTA NETWORKS INC COM,ANET,CIK0001596532,ANET,CIK0001596532
ARIZU,ARISZ ACQ.CORP UNIT COM & RT &,ARIZU,CIK0001882078,ARIZU,CIK0001882078
AAIC,ARLINGTON ASSET INVT CORP CL A,AAIC,CIK0001209028,AAIC,CIK0001209028
AROW,ARROW FINANCIAL CORP,AROW,CIK0000717538,AROW,CIK0000717538
APAM,ARTISAN PARTNERS ASSET MGMT IN,APAM,CIK0001517302,APAM,CIK0001517302
ASAN,"ASANA, INC CL A (DE)",ASAN,CIK0001477720,ASAN,CIK0001477720
ASMB,ASSEMBLY BIOSCIENCES INC COM,ASMB,CIK0001426800,ASMB,CIK0001426800
ASST,ASSET ENTITIES INC CL B,ASST,CIK0001920406,ASST,CIK0001920406
ASB,ASSOCIATED BANC CORP,ASB,CIK0000007789,ASB,CIK0000007789
AC,ASSOCIATED CAP GROUP INC CLASS,AC,CIK0001642122,AC,CIK0001642122
AZN,ASTRAZENECA PLC,AZN,CIK0000901832,AZN,CIK0000901832
AUB,ATLANTIC UN BANKSHARES CORP CO,AUB,CIK0000883948,AUB,CIK0000883948
ATLCL,ATLANTICUS HLDGS CORP SR NT (G,ATLCL,CIK0001464343,ATLCL,CIK0001464343
ATLKY,ATLAS COPCO AB SP ADR-NEW(RP-A,ATLKY,CIK0000748954,ATLKY,CIK0000748954
ATLCY,ATLAS COPCO AB SP ADR-NEW(RP-B,ATLCY,CIK0000748954,ATLCY,CIK0000748954
TEAM,ATLASSIAN CORP CL A(DE),TEAM,CIK0001650372,TEAM,CIK0001650372
ATRC,"ATRICURE, INC.",ATRC,CIK0001323885,ATRC,CIK0001323885
ATOM,ATOMERA INC COM,ATOM,CIK0001420520,ATOM,CIK0001420520
AUGG,AUGUSTA GOLD CORP DEL COM,AUGG,CIK0001448597,AUGG,CIK0001448597
ADSK,AUTODESK INC (DE),ADSK,CIK0000769397,ADSK,CIK0000769397
ALV,AUTOLIV INC,ALV,CIK0001034670,ALV,CIK0001034670
ADP,AUTOMATIC DATA PROCESSING,ADP,CIK0000008670,ADP,CIK0000008670
AN,AUTONATION INC,AN,CIK0000350698,AN,CIK0000350698
CDMO,AVID BIOSERVICES INC COM (DE) ,CDMO,CIK0000704562,CDMO,CIK0000704562
AVA,AVISTA CORP,AVA,CIK0000104918,AVA,CIK0000104918
AX,AXOS FINL INC,AX,CIK0001299709,AX,CIK0001299709
AXNX,"AXONICS, INC. COMMON STOCK (DE",AXNX,CIK0001603756,AXNX,CIK0001603756
BCE,BCE INC COM (NEW),BCE,CIK0000718940,BCE,CIK0000718940
DCF,BNY MELLON ALCENTRA GLOBAL CR ,DCF,CIK0001627854,DCF,CIK0001627854
LEO,BNY MELLON STRATEGIC MUNS INC ,LEO,CIK0000818972,LEO,CIK0000818972
BRIVW,B RILEY PRIN 250 MERGER CORP W,BRIVW,CIK0001844211,BRIVW,CIK0001844211
BWXT,BWX TECHNOLOGIES INC COM STK (,BWXT,CIK0001486957,BWXT,CIK0001486957
BLZE,BACKBLAZE INC CL A COM,BLZE,CIK0001462056,BLZE,CIK0001462056
BALL,BALL CORP,BALL,CIK0000009389,BALL,CIK0000009389
BLDP,BALLARD POWER SYS INC,BLDP,CIK0001453015,BLDP,CIK0001453015
BANF,BANCFIRST CORP,BANF,CIK0000760498,BANF,CIK0000760498
BAC,BANK OF AMERICA CORP,BAC,CIK0000070858,BAC,CIK0000070858
BMRC,BANK MARIN (BANCORP,BMRC,CIK0001403475,BMRC,CIK0001403475
FLYU,BANK MONTREAL S-NETWORK MICROS,FLYU,CIK0000927971,FLYU,CIK0000927971
OZKAP,BANK OZK LITTLE ROCK ARK,OZKAP,CIK0001569650,OZKAP,CIK0001569650
BNIXR,BANNIX ACQUISITION CORP RT (DE,BNIXR,CIK0001845942,BNIXR,CIK0001845942
BZUN,BAOZUN INC SPONSORED ADR (CYM),BZUN,CIK0001625414,BZUN,CIK0001625414
BHB,BAR HARBOR BANKSHARES,BHB,CIK0000743367,BHB,CIK0000743367
BRFH,BARFRESH FOOD GROUP INC,BRFH,CIK0001487197,BRFH,CIK0001487197
BBDC,BARINGS BDC INC COM (MD),BBDC,CIK0001379785,BBDC,CIK0001379785
MCI,BARINGS CORPORATE INVS COM (MA,MCI,CIK0000275694,MCI,CIK0000275694
BHC,BAUSCH HEALTH COMPANIES INC CO,BHC,CIK0000885590,BHC,CIK0000885590
BTTX,BETTER THERAPEUTICS INC COM (D,BTTX,CIK0001832415,BTTX,CIK0001832415
BIGC,BIGCOMMERCE HLDGS INC COM SER ,BIGC,CIK0001626450,BIGC,CIK0001626450
BIO,BIO-RAD LABS CL A,BIO,CIK0000012208,BIO,CIK0000012208
BCRX,BIOCRYST PHARMACEUTICALS INC,BCRX,CIK0000882796,BCRX,CIK0000882796
BNGOW,"BIONANO GENOMICS, INC. WARRANT",BNGOW,CIK0001411690,BNGOW,CIK0001411690
BLFE,BIOLIFE SCIENCES INC,BLFE,CIK0001929281,BLFE,CIK0001929281
BFRI,BIOFRONTERA INC COM,BFRI,CIK0001858685,BFRI,CIK0001858685
BBBT,BLACK BIRD BIOTECH INC COM (NV,BBBT,CIK0001409999,BBBT,CIK0001409999
BFZ,BLACKROCK CALIFORNIA MUNICIPAL,BFZ,CIK0001137391,BFZ,CIK0001137391
BBN,BLACKROCK TAXABLE MUNI BD TR C,BBN,CIK0001493683,BBN,CIK0001493683
BTA,BLACKROCK LONG TERM MUNI ADVAN,BTA,CIK0001343793,BTA,CIK0001343793
